ORIGEN,DESTINO,CANAL,TIPO,MONTO,CTD_TRX
U-XPGnhNap,U-hKzKzR1J,CANAL_3,TIPO_2,1686.38,2
U-ZAk2uzOF,U-P5pWCZNt,CANAL_2,TIPO_3,1427.45,2
U-yxhDStUa,U-TB9nWmTP,CANAL_2,TIPO_3,1624.65,2
U-M3k4j5tA,U-44I8n8mi,CANAL_2,TIPO_2,1415.39,1
U-vVxlo9Qf,U-QsN6JeNQ,CANAL_2,TIPO_3,1229.53,1
U-ikTDGQCV,U-X0Z2MrpO,CANAL_1,TIPO_3,1384.49,1
U-qf1ejivn,U-DOQghd6N,CANAL_2,TIPO_2,1527.45,2
U-xNx5snhF,U-H7l1Bklp,CANAL_3,TIPO_2,1610.52,1
U-H9e9aI6J,U-mMweLmhM,CANAL_2,TIPO_3,1573.68,2
U-IgFmHGH6,U-E4ImWbFK,CANAL_1,TIPO_2,1850.97,2
U-cix5UlED,U-YKytKpEi,CANAL_2,TIPO_3,1532.12,1
U-43ne1RZP,U-tAljLFXA,CANAL_2,TIPO_1,1555.93,2
U-e4cYNgCJ,U-MALbvJPQ,CANAL_1,TIPO_2,1419.57,2
U-HsCPZ8aF,U-Bg1ikxpg,CANAL_1,TIPO_2,1542.62,2
U-vNRDgqW8,U-YKytKpEi,CANAL_2,TIPO_2,1545.76,1
U-9WVV50wV,U-0b4N5jUa,CANAL_3,TIPO_1,1677.43,2
U-JO8OQk8V,U-yP11xint,CANAL_2,TIPO_2,1385.11,1
U-gdvU1zgI,U-8ECeAkYa,CANAL_1,TIPO_3,1709.23,1
U-0nTmepKK,U-sAfHy5m9,CANAL_1,TIPO_1,1204.81,2
U-VZFZfGwn,U-ulQg23NZ,CANAL_2,TIPO_1,1328.94,2
U-jnGAknYt,U-EIqeUoCK,CANAL_1,TIPO_2,1300.77,2
U-tysQZcKS,U-qQkr76sa,CANAL_2,TIPO_2,1345.61,2
U-fvXQp7es,U-lwVL7RPm,CANAL_1,TIPO_3,1522.52,2
U-KAh4yvEn,U-n0hkjmhm,CANAL_1,TIPO_2,1456.94,2
U-tMKWrxiJ,U-SVMizQLh,CANAL_2,TIPO_1,1561.9,2
U-jOsMLmzP,U-KHCJPYZr,CANAL_3,TIPO_3,1345.15,1
U-GUVYXMtN,U-ZcORb9Hs,CANAL_1,TIPO_1,1393.61,1
U-Z68EzSbQ,U-k1S9wnPM,CANAL_2,TIPO_3,1412.2,2
U-aNocH9MG,U-44I8n8mi,CANAL_1,TIPO_2,1648.42,2
U-GoTW3eWp,U-2wsClCGp,CANAL_2,TIPO_1,1323.12,1
U-YqjmloM4,U-x30IurBV,CANAL_2,TIPO_1,1385.36,1
U-wLgVL3ym,U-9dw6nV0B,CANAL_3,TIPO_1,1615.15,1
U-cww8b4Tf,U-2cpMKLLx,CANAL_3,TIPO_3,1461.13,1
U-EOwKW4Fv,U-jTllOf0p,CANAL_1,TIPO_3,1449.62,2
U-9T29NskC,U-8ag6wscw,CANAL_3,TIPO_3,1446.46,2
U-bReG5PrA,U-fn4quCbY,CANAL_2,TIPO_2,1510.79,1
U-d15vo0WY,U-HI9ART1W,CANAL_1,TIPO_3,1467.19,2
U-Oq2thhe2,U-3Z6geSSR,CANAL_2,TIPO_1,1603.57,2
U-F7wdMg9G,U-oZpMhsDy,CANAL_3,TIPO_2,1529.64,1
U-toZgtv7r,U-lTFNAxHN,CANAL_2,TIPO_2,1404.13,1
U-R8KnNlYp,U-FfiVoKGO,CANAL_2,TIPO_3,1504.1,2
U-s3CauRrJ,U-eDArVHpN,CANAL_2,TIPO_1,1456.31,2
U-ED9uf3Em,U-MXuhMLgG,CANAL_2,TIPO_2,1728.47,1
U-7TOnLQmR,U-wgiHXFCb,CANAL_3,TIPO_1,1246.07,2
U-iDihLzVl,U-ekgeTdWv,CANAL_2,TIPO_2,1349.42,2
U-OzRy57mo,U-3e4Xqdvo,CANAL_2,TIPO_3,1682.56,1
U-6vBOB361,U-Xh520HKM,CANAL_3,TIPO_1,1499.02,2
U-S9IG0vOb,U-5FyI7B6M,CANAL_1,TIPO_2,1699.55,1
U-4wHY9f2u,U-5hsNbxkh,CANAL_1,TIPO_1,1571.44,2
U-3sylSau9,U-gv11Ljiz,CANAL_2,TIPO_1,1555.53,2
U-PTUCwo2A,U-PRwzcybp,CANAL_1,TIPO_2,1578.62,1
U-MZhK9fPh,U-egN1f1Wu,CANAL_3,TIPO_2,1536.13,2
U-KHyaH8ga,U-3C5nu1Rx,CANAL_2,TIPO_3,1539.75,2
U-B93TESPy,U-ZxUHntJf,CANAL_2,TIPO_2,1309.21,2
U-ZBquP89b,U-SEodqnbR,CANAL_2,TIPO_2,1751.26,1
U-hPXKxanZ,U-jJmT7dKe,CANAL_1,TIPO_3,1516.94,1
U-AXh8oYUw,U-RzZ9WwYV,CANAL_2,TIPO_2,1587.52,1
U-FSSKQY8i,U-TNeJog8e,CANAL_2,TIPO_1,1679.1,1
U-NPy0KDXZ,U-73xWw9le,CANAL_1,TIPO_2,1514.35,2
U-fEJJdbI2,U-9wYlWnbN,CANAL_1,TIPO_2,1558.67,2
U-ZkhadtDm,U-Hymv3iNg,CANAL_2,TIPO_3,1428.79,1
U-Wc1EOHFu,U-ybKsJ2iA,CANAL_2,TIPO_2,1427.45,2
U-xAVypHd1,U-UhXA0QMG,CANAL_2,TIPO_3,1451.21,1
U-kDLZP8zi,U-35F1pPzk,CANAL_2,TIPO_1,1402.24,2
U-YFpwxqyC,U-xAbdXCQy,CANAL_1,TIPO_2,1587.22,2
U-oCzSju53,U-ET4wVqew,CANAL_2,TIPO_2,1320.08,1
U-WcTRMOHY,U-1R7QoAqF,CANAL_1,TIPO_3,1657.17,2
U-UQQh7EN3,U-q38GhjxS,CANAL_2,TIPO_3,1363.28,2
U-c2i1WxDa,U-iTrnTunu,CANAL_2,TIPO_2,1468.57,2
U-Dt9ll29v,U-oiQPsUvC,CANAL_2,TIPO_2,1650.43,2
U-5ScY23tw,U-RDRjoybs,CANAL_3,TIPO_1,1593.09,1
U-yxhDStUa,U-2YnapuZh,CANAL_2,TIPO_1,1837.11,2
U-IOe0Mt5m,U-VJPxlhHh,CANAL_3,TIPO_3,1455.03,2
U-7LE9SK4t,U-rNLp73cq,CANAL_2,TIPO_3,1312.08,1
U-dAaItdZj,U-XJPCQvAy,CANAL_2,TIPO_2,1539.73,1
U-nJydX271,U-exgT9kf8,CANAL_3,TIPO_1,1679.43,1
U-dmTSKvTt,U-vV7DfnuU,CANAL_2,TIPO_3,1508.34,2
U-zEIYBHTN,U-dcuMdLQG,CANAL_2,TIPO_3,1656.31,2
U-eisEjgg9,U-w4vrNKLp,CANAL_1,TIPO_1,1493.64,1
U-cix5UlED,U-Vk4CkKi1,CANAL_2,TIPO_2,1534.12,2
U-71ufBHMS,U-ebVEMneM,CANAL_3,TIPO_1,1531.16,2
U-YqjmloM4,U-ORKp5Xix,CANAL_2,TIPO_2,1689.79,2
U-EJQqMEFG,U-tGOsc6jn,CANAL_1,TIPO_1,1746.46,2
U-4jQ2HDX1,U-fwCOr1AT,CANAL_2,TIPO_1,1526.37,2
U-HDhmXD68,U-VIuT91KM,CANAL_3,TIPO_2,1542.16,1
U-2JsezkZF,U-lUh8lrc3,CANAL_2,TIPO_3,1730.89,1
U-GtAXD82T,U-q7C7fcgI,CANAL_1,TIPO_3,1325.95,2
U-pqLgrZwV,U-m4XM7yVm,CANAL_2,TIPO_2,1608.14,2
U-oY0pFX47,U-EP35x8UF,CANAL_3,TIPO_1,1447.82,1
U-F1YgxSnP,U-ggfx1XvI,CANAL_2,TIPO_3,1177.62,2
U-lJSgqMHS,U-lt6bQmyK,CANAL_3,TIPO_1,1374.0,2
U-x7r6bJPU,U-GhDiepTG,CANAL_2,TIPO_2,1653.65,2
U-AXQodGlD,U-ud6KxxGD,CANAL_3,TIPO_1,1549.67,1
U-cF80BK1M,U-giA5s4Rn,CANAL_1,TIPO_1,1847.45,1
U-ud6KxxGD,U-ySIzCeH3,CANAL_3,TIPO_2,1234.38,2
U-kadhYNKB,U-XBNasCpD,CANAL_1,TIPO_2,1325.62,2
U-pqLgrZwV,U-abj3x2rU,CANAL_2,TIPO_3,1465.19,1
U-73WuZbcd,U-HqufCN31,CANAL_2,TIPO_1,1305.96,2
U-o7MttiWc,U-w41IXqlr,CANAL_2,TIPO_2,1471.36,2
U-s3gmq5uE,U-7n2nmGzL,CANAL_1,TIPO_2,1477.19,1
U-gHhmBKyh,U-Usa8Vtnl,CANAL_2,TIPO_1,1428.36,1
U-Kzii6l0b,U-ualJke64,CANAL_2,TIPO_1,1580.19,2
U-jwlSdkUb,U-WZgstjXJ,CANAL_1,TIPO_2,1332.88,1
U-k01P4c9F,U-O6zub8gU,CANAL_3,TIPO_3,1683.57,1
U-fkgCWbGH,U-K56lWfcn,CANAL_3,TIPO_2,1266.21,1
U-0wPmPUjp,U-NHYopeto,CANAL_2,TIPO_1,1350.87,1
U-Dc1ERwY1,U-XVGWIyfu,CANAL_2,TIPO_3,1630.41,2
U-Bbe2d9B3,U-cTLxJloU,CANAL_2,TIPO_1,1728.32,1
U-3pc7JE7H,U-tFgeOYxr,CANAL_2,TIPO_1,1601.15,1
U-pSsZx7dO,U-9T29NskC,CANAL_3,TIPO_3,1388.71,1
U-sROdFbsJ,U-4rUAHoWt,CANAL_3,TIPO_2,1574.97,2
U-H7l1Bklp,U-3C5nu1Rx,CANAL_1,TIPO_1,1243.71,2
U-5oDdCNis,U-q7C7fcgI,CANAL_2,TIPO_2,1686.6,1
U-AgWkScA3,U-CfxZjzLM,CANAL_3,TIPO_2,1696.27,1
U-T8FEvbIm,U-GHm3bKH5,CANAL_2,TIPO_3,1687.66,2
U-jOsMLmzP,U-YDm8rArN,CANAL_2,TIPO_2,1715.54,1
U-5xJTLBxM,U-oYqiqFlH,CANAL_3,TIPO_1,1367.96,2
U-O6zub8gU,U-TFtaiURq,CANAL_2,TIPO_2,1408.11,2
U-tHPwaxhv,U-iQK7ZFcs,CANAL_1,TIPO_3,1374.08,2
U-YA4TOJnM,U-liF3aYJ3,CANAL_3,TIPO_1,1537.07,2
U-aUQG3hsi,U-DVYIYiFc,CANAL_3,TIPO_2,1654.61,1
U-3e4Xqdvo,U-s4h6y1yG,CANAL_2,TIPO_1,1468.82,2
U-tBHSH6N1,U-7ZY7qtzU,CANAL_2,TIPO_1,1524.99,2
U-ZcORb9Hs,U-ulQg23NZ,CANAL_1,TIPO_2,1339.26,1
U-m1AH5yTo,U-cc9uR69j,CANAL_1,TIPO_1,1559.79,1
U-OdMbYxes,U-Maa0k4rz,CANAL_2,TIPO_1,1031.6,2
U-uyc13qpN,U-VYoCaQEd,CANAL_2,TIPO_1,1325.12,2
U-toZgtv7r,U-zgyH16Xd,CANAL_2,TIPO_3,1595.19,1
U-Xq9Yf3d2,U-MmJzAg6w,CANAL_2,TIPO_1,1431.27,1
U-frJkIOrX,U-8IoeqENF,CANAL_2,TIPO_1,1439.32,1
U-BxP35Kfu,U-aBEJUhqV,CANAL_2,TIPO_1,1618.78,2
U-StCP42nE,U-QZetnpyi,CANAL_2,TIPO_2,1696.92,1
U-37wOSaB6,U-fD55Wvzu,CANAL_1,TIPO_2,1567.29,2
U-1Ln0kHXA,U-KFn2WxIV,CANAL_1,TIPO_2,1339.96,2
U-EgxlRX5w,U-Rg7Hp1tp,CANAL_1,TIPO_2,1542.57,2
U-1QgvlDWO,U-bjTdLUzF,CANAL_2,TIPO_2,1664.72,2
U-x1cKKyVJ,U-sxLZuOWu,CANAL_2,TIPO_2,1567.16,1
U-OwUM0Dbm,U-ZiPMtk9G,CANAL_1,TIPO_1,1432.01,1
U-2OUAcwvZ,U-YsPcF6zR,CANAL_2,TIPO_2,1385.25,2
U-exaBOdBQ,U-AM6vQwx0,CANAL_1,TIPO_2,1477.42,1
U-4PHmx9Hz,U-rDsSBHoX,CANAL_3,TIPO_3,1436.49,1
U-exaBOdBQ,U-cDHRaotj,CANAL_2,TIPO_3,1570.33,1
U-FGqn52Pi,U-1IELi7pU,CANAL_1,TIPO_1,1598.68,1
U-N63yEQrt,U-tXuvaPMV,CANAL_3,TIPO_2,1583.51,1
U-EuN7Z3ca,U-RwABvMbU,CANAL_2,TIPO_1,1859.12,2
U-5IJ84eSk,U-TwSqQW8r,CANAL_3,TIPO_3,1515.77,2
U-IvfiDFzK,U-sAfHy5m9,CANAL_2,TIPO_1,1471.54,2
U-c2VjZrM3,U-8LulxP5a,CANAL_2,TIPO_3,1536.54,1
U-ifPA3j6y,U-iTrnTunu,CANAL_2,TIPO_1,1484.98,1
U-SJpKM427,U-rl9l6COZ,CANAL_2,TIPO_1,1765.47,1
U-TNCcqQED,U-H9e9aI6J,CANAL_2,TIPO_3,1485.87,1
U-eS9eyabJ,U-H2hv18Dc,CANAL_2,TIPO_3,1380.54,2
U-FU8j2vuf,U-AGJ36bjV,CANAL_1,TIPO_1,1632.13,1
U-Dc1ERwY1,U-89I7nxgX,CANAL_2,TIPO_2,1795.1,2
U-yP11xint,U-7LE9SK4t,CANAL_3,TIPO_3,1621.7,1
U-ZVbeh8aq,U-XVGm0Jko,CANAL_2,TIPO_2,1392.73,2
U-YoZHV0nC,U-kl5oHqCf,CANAL_2,TIPO_2,1562.09,2
U-egN1f1Wu,U-egN1f1Wu,CANAL_2,TIPO_1,1387.31,2
U-uI6S6Yup,U-HRJor30p,CANAL_3,TIPO_3,1329.62,1
U-fw9Hs8VU,U-gxsDzVeL,CANAL_1,TIPO_3,1503.66,1
U-CoTJu6k3,U-H93knPzX,CANAL_2,TIPO_3,1134.23,2
U-NsKKfDuJ,U-vhQTxI6s,CANAL_2,TIPO_3,1443.49,1
U-wWq3vHYt,U-ORKp5Xix,CANAL_2,TIPO_2,1490.94,1
U-uQ15PAvU,U-gdvU1zgI,CANAL_2,TIPO_2,1898.55,2
U-lEkGA3It,U-xbpzRJor,CANAL_2,TIPO_2,1399.73,1
U-MALbvJPQ,U-VJPxlhHh,CANAL_1,TIPO_2,1332.54,2
U-8bvZxj4g,U-PEZnRG6G,CANAL_2,TIPO_2,1374.31,2
U-ulQg23NZ,U-mMweLmhM,CANAL_2,TIPO_2,1682.27,2
U-wgiHXFCb,U-o0yaqgzU,CANAL_3,TIPO_3,1354.14,1
U-ZE690uxa,U-Rugv18GM,CANAL_2,TIPO_1,1564.27,2
U-0JmajXCr,U-mWrJZzrB,CANAL_3,TIPO_2,1526.98,2
U-BvleBvzS,U-AFPHMNkp,CANAL_2,TIPO_3,1511.98,2
U-iAnqTGJj,U-aaTTyyks,CANAL_2,TIPO_1,1653.12,2
U-0M0ANZND,U-zLmEh1ki,CANAL_1,TIPO_1,1351.69,1
U-tysQZcKS,U-TdFRT7EO,CANAL_2,TIPO_3,1490.11,1
U-2wsClCGp,U-Yu5vzRIA,CANAL_1,TIPO_2,1587.37,2
U-s4h6y1yG,U-s4RLlQ7Q,CANAL_2,TIPO_2,1331.76,1
U-cww8b4Tf,U-1BwTM4yH,CANAL_2,TIPO_2,1469.42,1
U-XJPCQvAy,U-w4vrNKLp,CANAL_2,TIPO_2,1465.6,2
U-AX9wvENq,U-IP892Ltj,CANAL_2,TIPO_3,1571.82,1
U-bReG5PrA,U-0JmajXCr,CANAL_2,TIPO_2,1571.62,2
U-ikTDGQCV,U-6OSPeuaf,CANAL_3,TIPO_2,1494.97,2
U-dC9zmdfK,U-Z6YSbrf7,CANAL_2,TIPO_3,1628.99,2
U-aooogFx6,U-kR5DullW,CANAL_3,TIPO_1,1456.88,1
U-TdFRT7EO,U-ronKO0Sg,CANAL_2,TIPO_2,1735.15,2
U-5hsNbxkh,U-rW6LVaJ5,CANAL_2,TIPO_2,1526.91,1
U-uOnApxws,U-0M0ANZND,CANAL_1,TIPO_2,1428.61,1
U-eDE6nM9t,U-77fZi5wv,CANAL_2,TIPO_1,1543.52,1
U-yw8G9a1w,U-9BHM3FAO,CANAL_1,TIPO_1,1356.98,2
U-ClqgBzEz,U-oCzSju53,CANAL_1,TIPO_3,1593.19,2
U-UXaIy0Xp,U-ct91nnch,CANAL_2,TIPO_1,1454.24,2
U-RAnSTlra,U-H93knPzX,CANAL_1,TIPO_2,1665.01,2
U-0CBzyskp,U-w9VSf2LW,CANAL_3,TIPO_3,1303.43,2
U-1wI3xiw5,U-M3k4j5tA,CANAL_2,TIPO_3,1387.92,2
U-lJimYHZ4,U-1wI3xiw5,CANAL_3,TIPO_2,1283.08,1
U-xVg7yHmd,U-cTLxJloU,CANAL_2,TIPO_1,1715.3,2
U-8bfsffkS,U-3e4Xqdvo,CANAL_2,TIPO_2,1465.87,1
U-6p8aw9Ls,U-UnYlw2Kf,CANAL_2,TIPO_2,1229.83,2
U-I9CL1n7F,U-MKBCWE9p,CANAL_1,TIPO_2,1547.09,2
U-aPv2LlEN,U-vpWRsd0L,CANAL_1,TIPO_2,1591.68,2
U-8JTB0uWi,U-qZw0j1Gk,CANAL_2,TIPO_1,1253.8,1
U-cnFUHGAK,U-bwy1Biyy,CANAL_3,TIPO_1,1421.17,2
U-v5EXcNjH,U-6WPXBvAZ,CANAL_2,TIPO_3,1672.95,2
U-O5nduBT1,U-ygq8t8wH,CANAL_2,TIPO_2,1390.08,2
U-99EwqjpM,U-D7rJYho1,CANAL_2,TIPO_2,1589.54,2
U-ABkYHR23,U-rLo7JDD1,CANAL_1,TIPO_2,1490.96,2
U-BjvFBFB3,U-9oAxTnFo,CANAL_3,TIPO_2,1809.14,1
U-arEFPU7R,U-HZ2ClkU7,CANAL_1,TIPO_2,1193.92,1
U-kl5oHqCf,U-8LulxP5a,CANAL_2,TIPO_2,1324.45,2
U-UnzsGQJ9,U-cJo7i3AJ,CANAL_1,TIPO_1,1561.28,1
U-1IELi7pU,U-s48xvq2G,CANAL_1,TIPO_3,1434.16,1
U-qBm0atOA,U-eDx1c9mi,CANAL_3,TIPO_1,1866.88,2
U-ualJke64,U-MVxBsDJk,CANAL_1,TIPO_2,1617.52,1
U-3V4orIlS,U-bs2jsW1H,CANAL_3,TIPO_3,1522.38,1
U-OjI5YEsb,U-4wHY9f2u,CANAL_2,TIPO_3,1202.23,2
U-0nTmepKK,U-YV0C6m2f,CANAL_2,TIPO_1,1413.89,1
U-dtuCPFME,U-a6SqfMl6,CANAL_3,TIPO_3,1735.41,2
U-oewnuG0Y,U-WTLbs1hs,CANAL_1,TIPO_2,1604.89,2
U-50FXOJRb,U-sFZBRHL0,CANAL_2,TIPO_2,1482.36,1
U-vWE91roY,U-8dtNYYiK,CANAL_1,TIPO_3,1575.88,2
U-uobnHzwc,U-ghVZj85U,CANAL_2,TIPO_1,1457.59,2
U-MdWb1lNX,U-ocZIx9iz,CANAL_3,TIPO_3,1555.94,1
U-5Z3gsuqF,U-eiJ6EA6O,CANAL_1,TIPO_3,1604.91,2
U-H7l1Bklp,U-qtyeHw20,CANAL_3,TIPO_3,1654.9,2
U-q7C7fcgI,U-J4LJUKAf,CANAL_2,TIPO_3,1338.92,2
U-pM0y2TW4,U-C2WSHD4R,CANAL_1,TIPO_2,1663.73,2
U-IgXbkoxf,U-ep7LB4te,CANAL_2,TIPO_2,1567.14,2
U-OwUM0Dbm,U-Cus6XDc4,CANAL_1,TIPO_3,1628.36,1
U-TNCcqQED,U-2ZtCjXWx,CANAL_1,TIPO_3,1476.34,2
U-M6D8nj9v,U-6tTkM4Y7,CANAL_3,TIPO_3,1507.74,1
U-qGBRt3wQ,U-thiONf0M,CANAL_1,TIPO_1,1625.88,1
U-Js2EVoiz,U-qS6z34y9,CANAL_2,TIPO_2,1292.04,1
U-d51qTJTW,U-OOe8oPQu,CANAL_2,TIPO_2,1617.96,1
U-gfaIKho6,U-DU6bUOb2,CANAL_1,TIPO_2,1409.41,1
U-uQ15PAvU,U-TB9nWmTP,CANAL_2,TIPO_3,1449.34,2
U-fppfjlCY,U-SjeoCxNM,CANAL_1,TIPO_2,1429.53,2
U-L3wnGigK,U-RJEKxAvc,CANAL_2,TIPO_2,1360.85,2
U-hSe9N84I,U-aooogFx6,CANAL_1,TIPO_1,1706.51,2
U-Fa7NHlPU,U-wEfroe14,CANAL_1,TIPO_1,1519.73,1
U-H0bgMGVR,U-VQFFuaPv,CANAL_2,TIPO_1,1681.49,1
U-TFtaiURq,U-Y0LB8ubJ,CANAL_2,TIPO_3,1576.18,1
U-lBx2yl4Q,U-YUGiByAA,CANAL_2,TIPO_2,1593.06,2
U-YlqYYUNa,U-lh5GSACB,CANAL_2,TIPO_2,1584.39,2
U-l9D2R27C,U-7LE9SK4t,CANAL_2,TIPO_1,1521.83,2
U-2cpMKLLx,U-MKBCWE9p,CANAL_2,TIPO_1,1672.26,2
U-a8TAKjQz,U-BDPLIiBk,CANAL_1,TIPO_1,1508.4,1
U-y8bYPVAu,U-2XmcLAXp,CANAL_3,TIPO_2,1181.16,1
U-kxC2iCSf,U-IAMU9z1L,CANAL_2,TIPO_1,1098.89,2
U-mKziEfLd,U-xQ3LOruT,CANAL_2,TIPO_1,1411.25,2
U-g9DV9kOb,U-vPhf9dbD,CANAL_3,TIPO_2,1486.2,1
U-7TOnLQmR,U-opJHnsTb,CANAL_2,TIPO_1,1440.46,2
U-XLr3Hb3O,U-krZcvDaK,CANAL_2,TIPO_2,1294.13,2
U-IkX4d0Tu,U-iBlzWQvD,CANAL_1,TIPO_2,1326.49,1
U-4rUAHoWt,U-xIhLTFQ6,CANAL_3,TIPO_1,1233.82,1
U-R0NF5cEv,U-fwCOr1AT,CANAL_3,TIPO_2,1429.4,2
U-M6D8nj9v,U-5xJTLBxM,CANAL_1,TIPO_2,1309.91,1
U-VQFFuaPv,U-H2hv18Dc,CANAL_2,TIPO_2,1318.94,2
U-Uk5dfoPZ,U-6vBOB361,CANAL_3,TIPO_2,1531.86,1
U-E0FFj3Zb,U-7q9GiVfe,CANAL_3,TIPO_3,1509.58,2
U-CdCvbXDv,U-WnEYDyi6,CANAL_1,TIPO_2,1790.65,2
U-6BYKEr1b,U-OeQw3xSk,CANAL_2,TIPO_1,1695.33,1
U-UZrkKEzm,U-H8JdbC2r,CANAL_2,TIPO_2,1599.66,2
U-m1AH5yTo,U-cJo7i3AJ,CANAL_3,TIPO_2,1439.16,2
U-J8qaT1vH,U-Xh520HKM,CANAL_1,TIPO_2,1456.03,2
U-g3VQaTD7,U-IwCom3yw,CANAL_3,TIPO_2,1635.39,2
U-zUc3Pj2L,U-AJzpSZEx,CANAL_3,TIPO_1,1406.79,1
U-jgWtcHl5,U-a8TAKjQz,CANAL_2,TIPO_2,1569.85,2
U-D7rJYho1,U-2XmcLAXp,CANAL_2,TIPO_2,1643.65,2
U-AViIwVZ0,U-dtuCPFME,CANAL_3,TIPO_2,1518.21,1
U-UO1Pc564,U-UZrkKEzm,CANAL_2,TIPO_2,1468.54,1
U-ZBquP89b,U-WTLbs1hs,CANAL_2,TIPO_2,1350.42,2
U-a6SqfMl6,U-8ECeAkYa,CANAL_2,TIPO_2,1608.01,1
U-1s5iwDYW,U-RXWgmax3,CANAL_1,TIPO_2,1415.48,1
U-OeQw3xSk,U-IO7P6Mbg,CANAL_1,TIPO_3,1735.01,1
U-QFxw6iJ3,U-F1YgxSnP,CANAL_2,TIPO_1,1311.17,1
U-YDm8rArN,U-3HrPC4k3,CANAL_1,TIPO_2,1150.21,1
U-ZfKE0r0Y,U-2jirOF3V,CANAL_2,TIPO_2,1630.58,1
U-aAHroFiv,U-mWrJZzrB,CANAL_2,TIPO_2,1606.38,2
U-Jexmyj46,U-JYmel6wv,CANAL_1,TIPO_3,1439.75,1
U-YOpC811k,U-8LulxP5a,CANAL_2,TIPO_2,1324.56,1
U-Rn6yvZoz,U-bnKwpdWU,CANAL_2,TIPO_2,1414.05,1
U-ogHsH98Z,U-PdmEevYg,CANAL_2,TIPO_1,1632.4,1
U-YSDKmstk,U-iO84CkAR,CANAL_1,TIPO_2,1619.83,1
U-thRfifGY,U-aq2MCWaw,CANAL_3,TIPO_1,1292.71,1
U-j3aKKgbn,U-uFLmFiz6,CANAL_1,TIPO_1,1556.96,1
U-pdm4C6l0,U-4dxdO09C,CANAL_2,TIPO_2,1450.58,2
U-vemvQiri,U-tLP8uq05,CANAL_1,TIPO_1,1393.2,2
U-Haj3NX7R,U-YmZw05iz,CANAL_2,TIPO_1,1397.53,2
U-GjDnlZpX,U-GMB4m3SN,CANAL_3,TIPO_1,1453.26,1
U-a0SPMciY,U-rl9l6COZ,CANAL_2,TIPO_3,1540.4,1
U-aBEJUhqV,U-CFAoLQAs,CANAL_2,TIPO_2,1395.08,2
U-oDUaYYng,U-22IESsMk,CANAL_2,TIPO_2,1667.12,2
U-BvleBvzS,U-4jOjEpQy,CANAL_1,TIPO_1,1502.71,2
U-pjqEUKNU,U-TFtaiURq,CANAL_2,TIPO_2,1667.23,1
U-YUGiByAA,U-bmHD1e1y,CANAL_2,TIPO_3,1610.73,2
U-K56lWfcn,U-p1TkxS0F,CANAL_1,TIPO_3,1549.83,1
U-xwLReiAi,U-oCStmi96,CANAL_1,TIPO_2,1430.1,2
U-XPGnhNap,U-o0Q3aE1S,CANAL_3,TIPO_3,1375.93,1
U-WvU9dJQz,U-EMEEyne1,CANAL_2,TIPO_1,1736.77,1
U-WQEzsjFU,U-XfDnefZb,CANAL_3,TIPO_3,1304.67,1
U-OjI5YEsb,U-WmakX7Qj,CANAL_1,TIPO_1,1423.66,1
U-5T3vgyMu,U-GabOAhJN,CANAL_2,TIPO_1,1722.32,1
U-k1S9wnPM,U-CoTJu6k3,CANAL_3,TIPO_1,1465.66,2
U-94fl1e5E,U-R6SlLoJw,CANAL_3,TIPO_1,1391.7,1
U-oYUBQ7rd,U-ZKpWigxd,CANAL_1,TIPO_3,1290.84,1
U-6jmX0AZh,U-c2VjZrM3,CANAL_2,TIPO_2,1222.15,1
U-flDuqfYo,U-y8bYPVAu,CANAL_2,TIPO_2,1238.12,1
U-SSFo12UG,U-AxscjMVj,CANAL_2,TIPO_2,1468.0,2
U-aM1tNqXT,U-ClqgBzEz,CANAL_2,TIPO_2,1342.37,1
U-ZcORb9Hs,U-o7MttiWc,CANAL_1,TIPO_2,1447.93,1
U-O5nduBT1,U-99EwqjpM,CANAL_2,TIPO_1,1681.58,2
U-vpWRsd0L,U-ZiPMtk9G,CANAL_1,TIPO_1,1469.03,1
U-gdvU1zgI,U-wJuMT0yc,CANAL_2,TIPO_2,1418.61,2
U-Fifffqek,U-p1TkxS0F,CANAL_1,TIPO_1,1507.49,1
U-CaWYVAyz,U-RXWgmax3,CANAL_2,TIPO_1,1353.78,2
U-zxmUM3jY,U-7vmNOkSn,CANAL_1,TIPO_2,1723.43,2
U-9R1uo3Ur,U-Eb1cQkrm,CANAL_2,TIPO_3,1199.39,2
U-VT42ZoeJ,U-ePu5UJwe,CANAL_1,TIPO_2,1543.23,1
U-Yu5vzRIA,U-T8FEvbIm,CANAL_2,TIPO_2,1807.92,2
U-Z6YSbrf7,U-YoZHV0nC,CANAL_3,TIPO_3,1591.61,1
U-xwLReiAi,U-QgNcIct3,CANAL_2,TIPO_1,1414.56,1
U-YsPcF6zR,U-vxB4G0gP,CANAL_2,TIPO_3,1519.6,1
U-kuDCvkRy,U-jBkZXyyr,CANAL_2,TIPO_3,1594.37,2
U-fToUDGCG,U-XLr3Hb3O,CANAL_2,TIPO_1,1629.01,2
U-v5EXcNjH,U-Kfyx2kdh,CANAL_3,TIPO_2,1534.59,1
U-UXaIy0Xp,U-AIYJOOea,CANAL_2,TIPO_1,1596.62,2
U-JznVy3yf,U-7n2nmGzL,CANAL_3,TIPO_2,1393.07,2
U-WYdQ3eNw,U-VfPK0Keq,CANAL_3,TIPO_2,1426.69,2
